count,type,codename,friendlyname,review
22,action,FA_errno,errno,
6,action,FA_Note_PostOpenDoc,note post open document,
3,action,FA_Note_PostImportElemDefs,note post import element defs,
3,action,FA_Note_PreImportElemDefs,note pre import element defs,
3,action,FA_Note_PreQuitDoc,note pre quit document,
2,action,FA_CMSGetPropertyMaxOpCode,content management system get property max op code,
2,action,FA_CMSIsValidCommand,content management system is valid command,
2,action,FA_CMSObjectEdit,content management system object edit,
2,action,FA_CMSObjectOpenReadOnly,content management system object open read only,
2,action,FA_Note_PreOpenDoc,note pre open document,
2,action,FA_Note_PreSaveDoc,note pre save document,
1,action,FA_CMSAdvancedSearch,content management system advanced search,
1,action,FA_CMSBuildContextMenu,content management system build context menu,
1,action,FA_CMSCloseConnection,content management system close connection,
1,action,FA_CMSCommandMax,content management system command max,
1,action,FA_CMSCommandMin,content management system command min,
1,action,FA_CMSCreateConnMgrUI,content management system create conn mgr ui,
1,action,FA_CMSCreateConnection,content management system create connection,
1,action,FA_CMSGetCommandMaxOpCode,content management system get command max op code,
1,action,FA_CMSGetItemFromPath,content management system get item from path,
1,action,FA_CMSGetItems,content management system get items,
1,action,FA_CMSObjectCancelCheckout,content management system object cancel checkout,
1,action,FA_CMSObjectCheckin,content management system object checkin,
1,action,FA_CMSObjectCheckout,content management system object checkout,
1,action,FA_CMSObjectDelete,content management system object delete,
1,action,FA_CMSObjectDownload,content management system object download,
1,action,FA_CMSObjectDownloadForOpen,content management system object download for open,
1,action,FA_CMSObjectDownloadItem,content management system object download item,
1,action,FA_CMSObjectGetChildren,content management system object get children,
1,action,FA_CMSObjectIsSame,content management system object is same,
1,action,FA_CMSObjectRefresh,content management system object refresh,
1,action,FA_CMSObjectShowCheckOutFiles,content management system object show check out files,
1,action,FA_CMSObjectShowDependents,content management system object show dependents,
1,action,FA_CMSObjectShowProperties,content management system object show properties,
1,action,FA_CMSObjectShowVersion,content management system object show version,
1,action,FA_CMSObjectUploadFile,content management system object upload file,
1,action,FA_CMSObjectUploadFolder,content management system object upload folder,
1,action,FA_CMSSetRootObject,content management system set root object,
1,action,FA_CMSSimpleSearch,content management system simple search,
1,action,FA_COMPONENT_DEMOTE,component demote,
1,action,FA_COMPONENT_MOVEUP,component moveup,
1,action,FA_COMPONENT_PROMOTE,component promote,
1,action,FA_Init_DocReport,initialize document report,
1,action,FA_Init_First,initialize first,
1,action,FA_Init_Subsequent,initialize subsequent,
1,action,FA_Init_TakeControl,initialize take control,
1,action,FA_Note_AI_Supported_File,note ai supported file,
1,action,FA_Note_Alert,note alert,
